ctx_id,rows,clearance_mean,clearance_min,near_miss_rate,violation_rate,shield_used_rate,ctx_tuple
0,60,552.1582258050282,-9.65440559387207,0.08333333333333333,0.06666666666666667,0.06666666666666667,"('low', 'calm', 'clean')"
1,60,505.0078819792853,-10.720508575439451,0.13333333333333333,0.05,0.06666666666666667,"('low', 'calm', 'noisy')"
2,60,518.3218131405514,-7.632911682128906,0.15,0.05,0.06666666666666667,"('low', 'calm', 'dropout')"
4,120,635.0812764306069,-10.410737991333008,0.09166666666666666,0.05,0.06666666666666667,"('low', 'normal', 'noisy')"
6,180,632.735276895615,-11.098081588745115,0.06666666666666667,0.05555555555555555,0.05555555555555555,"('low', 'aggr', 'clean')"
8,80,435.77614050626755,-10.245132446289062,0.2125,0.0875,0.1,"('low', 'aggr', 'dropout')"
9,60,712.008675643603,-10.364513397216797,0.1,0.05,0.06666666666666667,"('med', 'calm', 'clean')"
10,180,601.6407192820867,-11.74941062927246,0.08888888888888889,0.05,0.06666666666666667,"('med', 'calm', 'noisy')"
11,300,585.3041139862504,-11.954280853271484,0.12333333333333334,0.06,0.06,"('med', 'calm', 'dropout')"
12,120,558.5048385953796,-13.416933059692385,0.1,0.05,0.058333333333333334,"('med', 'normal', 'clean')"
13,60,561.4556730016072,-13.170957565307615,0.08333333333333333,0.05,0.06666666666666667,"('med', 'normal', 'noisy')"
14,120,674.0544766005198,-9.80088233947754,0.1,0.05,0.058333333333333334,"('med', 'normal', 'dropout')"
16,240,594.2584270713086,-11.99539566040039,0.1,0.05416666666666667,0.0625,"('med', 'aggr', 'noisy')"
18,120,581.9510849105511,-9.94618034362793,0.075,0.05,0.05,"('high', 'calm', 'clean')"
22,120,665.2756013981501,-11.398805618286133,0.075,0.05,0.058333333333333334,"('high', 'normal', 'noisy')"
26,120,588.4993371756871,-8.531076431274414,0.10833333333333334,0.05,0.041666666666666664,"('high', 'aggr', 'dropout')"
