ctx_id,rows,clearance_mean,clearance_min,near_miss_rate,violation_rate,shield_used_rate,ctx_tuple
6,60,636.4899520704057,-11.098081588745115,0.1,0.05,0.06666666666666667,"('low', 'aggr', 'clean')"
9,60,712.008675643603,-10.364513397216797,0.1,0.05,0.06666666666666667,"('med', 'calm', 'clean')"
10,120,566.7877088757197,-11.74941062927246,0.1,0.05,0.075,"('med', 'calm', 'noisy')"
12,120,558.5048385953796,-13.416933059692385,0.1,0.05,0.058333333333333334,"('med', 'normal', 'clean')"
14,120,674.0544766005198,-9.80088233947754,0.1,0.05,0.058333333333333334,"('med', 'normal', 'dropout')"
16,120,611.3559160370338,-11.742799758911133,0.1,0.05,0.06666666666666667,"('med', 'aggr', 'noisy')"
