time/episodes,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,lilac/loss,lilac/dec_loss,lilac/beta,lilac/kl,lilac/cp_cooldown,lilac/cp_kl,lilac/s_uncert,lilac/s_env,plugin/constraint/s_uncert,plugin/constraint/risk,lilac/cp_delta,lilac/risk,lilac/cp_flag,plugin/constraint/s_env,plugin/constraint/unsafe
12,1,6.229572833333333,720,60.0,534,,,,,2.0,8.898371696472168,1.3645203113555908,0.0,1.3645203113555908,0.5170498907676886,0.008262814953923225,0.5170498907676886,1.0,0.0,1.0
13,1,5.8968950769230775,780,60.0,577,,,,,2.0,7.0566816329956055,1.4263280630111694,0.0,1.4263280630111694,0.5178215480181405,0.01956484466791153,0.5178215480181405,1.0,0.0,1.0
14,1,5.680903714285715,840,60.0,624,0.03000490739941597,0.0015131601830944419,0.0032,8.903671264648438,2.0,6.184972763061523,1.4806321859359741,0.0,1.4806321859359741,0.518499453964874,0.09181132912635803,0.518499453964874,1.0,0.0,1.0
15,1,5.6211048,900,60.0,668,,,,,2.0,5.001702785491943,1.5190316438674927,0.0,1.5190316438674927,0.5189787729451734,0.01850237138569355,0.5189787729451734,1.0,0.0,1.0
16,1,6.1056553749999996,960,60.0,711,,,,,2.0,4.838992595672607,1.555733561515808,0.0,1.555733561515808,0.519436869842482,0.012389950454235077,0.519436869842482,1.0,0.0,1.0
17,1,6.083940823529411,1020,60.0,756,0.021597271785140038,0.00022971058206167072,0.004,5.34188985824585,1.0,3.813218593597412,0.4970650374889374,0.0,0.4970650374889374,0.5062129931662981,0.06440719962120056,0.5062129931662981,0.0,0.0,0.0
18,1,6.0117344444444445,1080,60.0,801,,,,,2.0,110.63835906982422,0.5694551467895508,0.0,0.5694551467895508,0.5071177084820836,0.0019141228403896093,0.5071177084820836,1.0,0.0,1.0
19,1,6.047708315789474,1140,60.0,845,,,,,2.0,77.08370971679688,0.6487582325935364,0.0,0.6487582325935364,0.5081087669039385,0.0021700276993215084,0.5081087669039385,1.0,0.0,1.0
20,1,5.79476395,1200,60.0,889,0.3019207715988159,0.00044371368130669,0.0048000000000000004,62.807716369628906,2.0,59.695594787597656,0.7354680299758911,0.0,0.7354680299758911,0.5091923145137799,0.003167737741023302,0.5091923145137799,1.0,0.0,1.0
21,1,6.204921761904762,1260,60.0,932,,,,,2.0,40.24969482421875,0.8258987069129944,0.0,0.8258987069129944,0.5103222670222939,0.06427978724241257,0.5103222670222939,1.0,0.0,1.0
22,1,6.444092,1320,60.0,978,,,,,2.0,32.66375732421875,0.921919584274292,0.0,0.921919584274292,0.5115219546838329,0.005006636958569288,0.5115219546838329,1.0,0.0,1.0
23,1,6.330097652173913,1380,60.0,1021,,,,,2.0,22.508623123168945,1.016243577003479,0.0,1.016243577003479,0.512700312275892,0.0085739241912961,0.512700312275892,1.0,0.0,1.0
24,1,6.427479375,1440,60.0,1066,0.17899519205093384,0.000873990822583437,0.005600000000000001,31.807357788085938,2.0,18.495952606201172,1.1118431091308594,0.0,1.1118431091308594,0.5138944606600683,0.08144805580377579,0.5138944606600683,1.0,0.0,1.0
25,1,6.170380199999999,1500,60.0,1110,,,,,2.0,12.901723861694336,1.1976697444915771,0.0,1.1976697444915771,0.5149663995743948,0.011633352376520634,0.5149663995743948,1.0,0.0,1.0
26,1,6.191177538461537,1560,60.0,1154,,,,,2.0,11.231597900390625,1.281853199005127,0.0,1.281853199005127,0.5160176821511898,0.00978164654225111,0.5160176821511898,1.0,0.0,1.0
27,1,6.1747470370370365,1620,60.0,1196,0.09132251143455505,0.0003800640406552702,0.0064,14.209757804870605,2.0,7.797399520874023,1.3470182418823242,0.0,1.3470182418823242,0.516831366044246,0.06596507877111435,0.516831366044246,1.0,0.0,1.0
28,1,6.022587714285714,1680,60.0,1239,,,,,2.0,7.527128219604492,1.4129869937896729,0.0,1.4129869937896729,0.5176549945403037,0.012251267209649086,0.5176549945403037,1.0,0.0,1.0
29,1,6.0485342068965515,1740,60.0,1283,,,,,2.0,5.274790287017822,1.4536985158920288,0.0,1.4536985158920288,0.5181632356391821,0.02405175007879734,0.5181632356391821,1.0,0.0,1.0
