rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed
6.788136,1,1,60.0,60,47
4.3540225,2,1,60.0,120,99
3.857179,3,1,60.0,180,106
4.80399525,4,2,60.0,240,113
3.8431962,5,2,60.0,300,121
4.162980999999999,6,2,60.0,360,140
3.5682694285714285,7,2,60.0,420,158
4.6880556250000005,8,2,60.0,480,178
6.414086222222222,9,2,60.0,540,196
6.1558522,10,2,60.0,600,215
5.769966636363637,11,2,60.0,660,234
5.77432125,12,2,60.0,720,241
5.844672615384615,13,3,60.0,780,248
5.632184642857142,14,3,60.0,840,255
5.4478168,15,3,60.0,900,262
6.244192312499999,16,3,60.0,960,270
6.327482235294117,17,3,60.0,1020,277
6.350642222222222,18,3,60.0,1080,284
6.218068736842104,19,3,60.0,1140,291
6.4352734499999995,20,4,60.0,1200,298
7.001849095238095,21,4,60.0,1260,305
6.857638909090909,22,4,60.0,1320,314
6.726216391304348,23,4,60.0,1380,322
6.606299541666666,24,4,60.0,1440,329
6.34204756,25,4,60.0,1500,336
6.355631807692307,26,4,60.0,1560,344
6.368521777777778,27,4,60.0,1620,389
6.243682285714286,28,3,60.0,1680,433
6.391220137931034,29,3,60.0,1740,476
6.403343899999999,30,3,60.0,1800,519
6.382242677419354,31,3,60.0,1860,563
6.2720833124999995,32,3,60.0,1920,608
6.314594606060606,33,3,60.0,1980,655
6.663325029411764,34,2,60.0,2040,701
6.801107571428571,35,2,60.0,2100,744
6.798431305555555,36,2,60.0,2160,788
6.770261189189188,37,2,60.0,2220,831
6.744608052631579,38,2,60.0,2280,875
6.7924249743589735,39,2,60.0,2340,921
6.815630225000001,40,2,60.0,2400,966
6.905700902439026,41,2,60.0,2460,1015
6.923214452380954,42,2,60.0,2520,1059
7.075047534883723,43,2,60.0,2580,1103
6.97954681818182,44,2,60.0,2640,1145
7.017639800000002,45,2,60.0,2700,1189
6.989996152173916,46,2,60.0,2760,1234
6.902400829787237,47,2,60.0,2820,1279
6.9180584791666675,48,2,60.0,2880,1324
6.87463842857143,49,2,60.0,2940,1344
6.794542480000001,50,2,60.0,3000,1362
