time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,lilac/kl,lilac/beta,lilac/dec_loss,lilac/loss,plugin/constraint/unsafe,lilac/cp_cooldown,plugin/constraint/s_env,lilac/cp_flag,lilac/s_env,lilac/cp_delta,lilac/risk,plugin/constraint/s_uncert,lilac/cp_kl,plugin/constraint/risk,lilac/s_uncert
3,60,18,60.0,3.822222,1,,,,,,,,,,,,,,,
2,120,41,60.0,4.308892999999999,2,,,,,,,,,,,,,,,
2,180,60,60.0,6.379975333333333,3,,,,,,,,,,,,,,,
2,240,80,60.0,5.740537,4,0.01266042422503233,0.0008,0.3355490267276764,0.3355591595172882,,,,,,,,,,,
2,300,100,60.0,4.973382,5,,,,,0.0,0.0,0.0,0.0,0.0,0.09001172333955765,0.5092087129027393,0.7367803454399109,0.013668060302734375,0.5092087129027393,0.7367803454399109
2,360,120,60.0,5.584147333333334,6,,,,,1.0,2.0,0.0,1.0,0.0,0.0030283438973128796,0.5103685182989504,0.8296003937721252,44.521697998046875,0.5103685182989504,0.8296003937721252
3,420,139,60.0,4.786412,7,14.847796440124512,0.0016,0.0024555753916502,0.026212049648165703,1.0,2.0,0.0,1.0,0.0,0.04065223038196564,0.5115777275212584,0.9263837933540344,33.06582260131836,0.5115777275212584,0.9263837933540344
3,480,158,60.0,4.426999374999999,8,,,,,1.0,2.0,0.0,1.0,0.0,0.00410363357514143,0.5128021624834612,1.0243968963623047,24.516952514648438,0.5128021624834612,1.0243968963623047
3,540,178,60.0,4.679378666666667,9,,,,,1.0,2.0,0.0,1.0,0.0,0.02133721299469471,0.5140282461818652,1.1225543022155762,19.390239715576172,0.5140282461818652,1.1225543022155762
3,600,197,60.0,4.5933456,10,22.768959045410156,0.0024000000000000002,0.0023824183735996485,0.05702792480587959,1.0,2.0,0.0,1.0,0.0,0.0038277553394436836,0.5151728596710715,1.21420156955719,14.10282039642334,0.5151728596710715,1.21420156955719
2,660,220,60.0,5.048380909090909,11,,,,,1.0,2.0,0.0,1.0,0.0,0.028325188905000687,0.5162125535894976,1.2974591255187988,10.878674507141113,0.5162125535894976,1.2974591255187988
2,720,241,60.0,5.427158416666667,12,,,,,1.0,2.0,0.0,1.0,0.0,0.00486863125115633,0.5171467704907938,1.3722797632217407,8.820087432861328,0.5171467704907938,1.3722797632217407
2,780,261,60.0,5.083189,13,,,,,1.0,2.0,0.0,1.0,0.0,0.00852313730865717,0.5179354184758482,1.4354493618011475,7.125641345977783,0.5179354184758482,1.4354493618011475
2,840,280,60.0,5.610580285714286,14,8.94146728515625,0.0032,0.3142089545726776,0.3428216576576233,1.0,2.0,0.0,1.0,0.0,0.03714313358068466,0.5186074487462525,1.4892836809158325,6.119067192077637,0.5186074487462525,1.4892836809158325
2,900,301,60.0,5.2365416,15,,,,,1.0,2.0,0.0,1.0,0.0,0.013804585672914982,0.5191137318512947,1.529844045639038,5.105165004730225,0.5191137318512947,1.529844045639038
2,960,320,60.0,5.388273,16,,,,,1.0,2.0,0.0,1.0,0.0,0.006096364464610815,0.5195601277995452,1.5656092166900635,4.770259857177734,0.5195601277995452,1.5656092166900635
2,1020,342,60.0,5.354132294117647,17,5.3314971923828125,0.004,0.0009872240480035543,0.02231321483850479,1.0,2.0,0.0,1.0,0.0,0.041003502905368805,0.5198729062941082,1.5906704664230347,4.198986053466797,0.5198729062941082,1.5906704664230347
2,1080,361,60.0,5.428461777777778,18,,,,,1.0,2.0,0.0,1.0,0.0,0.009488390758633614,0.5201482344185967,1.6127320528030396,4.041234493255615,0.5201482344185967,1.6127320528030396
2,1140,381,60.0,5.494298789473684,19,,,,,0.0,1.0,0.0,0.0,0.0,0.0167775247246027,0.5064136325003316,0.5131187438964844,3.5239830017089844,0.5064136325003316,0.5131187438964844
2,1200,403,60.0,5.65069495,20,28.910062789916992,0.0048000000000000004,0.0008372879819944501,0.1396055966615677,1.0,2.0,0.0,1.0,0.0,0.0014661368913948536,0.5073411486270477,0.5873340964317322,103.87604522705078,0.5073411486270477,0.5873340964317322
2,1260,422,60.0,5.657040476190477,21,,,,,1.0,2.0,0.0,1.0,0.0,0.05020086094737053,0.5083550759159687,0.6684682965278625,73.3845443725586,0.5083550759159687,0.6684682965278625
2,1320,442,60.0,5.881835727272729,22,,,,,1.0,2.0,0.0,1.0,0.0,0.0025847996585071087,0.5094581764325699,0.756744384765625,55.93292236328125,0.5094581764325699,0.756744384765625
2,1380,461,60.0,5.793805608695654,23,,,,,1.0,2.0,0.0,1.0,0.0,0.01412198692560196,0.5106161849471659,0.8494224548339844,39.9180908203125,0.5106161849471659,0.8494224548339844
