rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,lilac/beta,lilac/kl,lilac/loss,lilac/dec_loss,lilac/cp_delta,lilac/cp_cooldown,lilac/s_env,lilac/risk,lilac/s_uncert,lilac/cp_flag,lilac/cp_kl
6.788136,1,60,1,60.0,44,,,,,,,,,,,
4.3540225,1,120,2,60.0,89,,,,,,,,,,,
3.857179,1,180,3,60.0,97,,,,,,,,,,,
4.80399525,2,240,4,60.0,104,0.0008,0.00759116793051362,0.001188993570394814,0.0011829206487163901,,,,,,,
3.8431962,2,300,5,60.0,111,,,,,0.06977938115596771,0.0,0.0,0.509184220702025,0.7348203063011169,0.0,0.00847923755645752
4.162980999999999,2,360,6,60.0,131,,,,,0.003960081841796637,2.0,0.0,0.510340510917015,0.8273588418960571,1.0,44.47078323364258
3.5682694285714285,2,420,7,60.0,150,0.0016,14.828295707702637,0.025109073147177696,0.0013837995938956738,0.05596382915973663,2.0,0.0,0.5115381063996365,0.9232124090194702,1.0,32.29975128173828
4.6880556250000005,2,480,8,60.0,168,,,,,0.0052467151544988155,2.0,0.0,0.5127581672550725,1.0208749771118164,1.0,24.519237518310547
6.414086222222222,2,540,9,60.0,187,,,,,0.0056119137443602085,2.0,0.0,0.5139542230660218,1.116627812385559,1.0,18.373449325561523
6.1558522,2,600,10,60.0,206,0.0024000000000000002,22.344104766845703,0.26261183619499207,0.20898596942424774,0.006590694654732943,2.0,0.0,0.5150962455751295,1.2080668210983276,1.0,14.183984756469727
5.769966636363637,2,660,11,60.0,225,,,,,0.043982550501823425,2.0,0.0,0.5161279886329535,1.290686845779419,1.0,10.81748104095459
5.77432125,3,720,12,60.0,232,,,,,0.007289415691047907,2.0,0.0,0.5170622205255546,1.3655078411102295,1.0,8.873390197753906
5.844672615384615,3,780,13,60.0,240,,,,,0.02244320511817932,2.0,0.0,0.5178160609376775,1.4258885383605957,1.0,6.9265546798706055
