timestep,clearance,near_miss,violation,shield_used,shield_reason,ctx_id,ctx_tuple,tau_near_miss,tau_violation,eps,inflate,adj_risk,adj_unsafe,adj_s_env,adj_s_agent,adj_eps_override,budget_bt,budget_rem,budget_filtered,budget_risk,budget_C,budget_T,calib_resid
26,524.8617607688903,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,31.606711101532028
27,557.719498500824,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,9.355929708480744
28,569.194301662445,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,12.025912857055687
29,582.8988731002808,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,7.808445167541436
30,589.2849618530273,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,16.99563107490542
31,608.430890712738,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,50.94083786010742,44.94083786010742,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,17.061277580261162
32,626.9393057441711,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,50.72994613647461,44.72994613647461,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-2.8533432006836392
33,623.7003670310974,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,50.292259216308594,44.292259216308594,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,23.845530796051094
34,646.7203224754334,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,49.85457229614258,43.85457229614258,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,28.299124622344948
35,672.8973042106628,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,49.41688537597656,43.41688537597656,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,24.857440662383965
36,699.6483675575256,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,48.97919845581055,42.97919845581055,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,16.944769668579056
37,714.5427954292297,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,48.54151916503906,42.54151916503906,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,30.93779191970816
38,743.2985529518127,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,48.103824615478516,42.103824615478516,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,40.8208755016326
39,784.4783310508727,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,47.993595123291016,41.993595123291016,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,12.836611652374245
40,794.9384794807434,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,47.60269546508789,41.60269546508789,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,0.9928525447845686
41,796.1231154060363,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,47.21177673339844,41.21177673339844,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-1.810194969177246
42,794.3252915000915,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.82087707519531,40.82087707519531,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,38.36127319335935
43,831.3147934532165,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.77409744262695,40.77409744262695,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,12.202812385559128
44,842.3920845603942,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.72732162475586,40.72732162475586,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,27.348642921447777
45,867.6668411827087,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.6805419921875,40.6805419921875,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,2.7870975494384993
46,869.3546661949157,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.63376235961914,40.63376235961914,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,23.79951448440545
47,890.9081348991393,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.58698654174805,40.58698654174805,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,28.41219711303711
48,917.574859676361,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.54020690917969,40.54020690917969,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,8.860087394714355
49,924.240338191986,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.493431091308594,40.493431091308594,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,25.912100124359085
50,947.8838199234008,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,46.446651458740234,40.446651458740234,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,34.87823829650881
