time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,lilac/cp_kl,plugin/constraint/s_uncert,lilac/risk,plugin/constraint/unsafe,plugin/constraint/s_env,lilac/s_env,plugin/constraint/risk,lilac/cp_delta,lilac/cp_flag,lilac/cp_cooldown,lilac/s_uncert,lilac/kl,lilac/dec_loss,lilac/beta,lilac/loss
0,1,4,2.869841,4.0,4,,,,,,,,,,,,,,,
0,2,5,1.4349205,2.5,5,,,,,,,,,,,,,,,
1,3,5,1.2751323333333333,2.3333333333333335,7,,,,,,,,,,,,,,,
1,4,5,1.1944445000000001,2.25,9,,,,,,,,,,,,,,,
1,5,6,0.9555556000000001,2.0,10,0.008149206638336182,0.7396222949028015,0.509244225174575,0.0,0.0,0.0,0.509244225174575,0.03998778760433197,0.0,0.0,0.7396222949028015,,,,
1,6,7,1.1153440000000001,2.1666666666666665,13,45.13166046142578,0.8330786228179932,0.5104119773869941,1.0,0.0,0.0,0.5104119773869941,0.0032773069106042385,1.0,2.0,0.8330786228179932,,,,
1,7,8,0.9560091428571429,2.0,14,33.25743103027344,0.9304600954055786,0.5116286538564091,1.0,0.0,0.0,0.5116286538564091,0.0030247874092310667,1.0,2.0,0.9304600954055786,,,,
1,8,9,0.9563492499999999,2.0,16,24.872982025146484,1.0294190645217896,0.5128648982279427,1.0,0.0,0.0,0.5128648982279427,0.003455991856753826,1.0,2.0,1.0294190645217896,,,,
1,9,10,0.9566137777777777,2.0,18,18.809171676635742,1.127049207687378,0.5140843880950208,1.0,0.0,0.0,0.5140843880950208,0.0048400708474218845,1.0,2.0,1.127049207687378,,,,
1,10,11,0.9565079999999998,2.0,20,14.361933708190918,1.2200453281402588,0.5152458390630591,1.0,0.0,0.0,0.5152458390630591,0.004214416723698378,1.0,2.0,1.2200453281402588,,,,
