timestep,clearance,violation,near_miss,shield_used,shield_reason,eps,inflate,ctx_id,crashed,speed,calib_resid,adj_risk,adj_unsafe,adj_s_env,adj_s_agent,adj_eps_override,budget_bt,budget_rem,budget_filtered,budget_risk
1,5.880641937255859,1,1,1,fallback,0.5,0.0,22,0,25.0,22.738226509094236,0.0,0,0.0,0.0,,,,0,
2,19.55864124298094,0,0,0,original_ok,0.5,0.0,22,0,20.40973520278932,11.357331895828228,0.0,0,0.0,0.0,,,,0,
3,53.13168964385983,0,0,1,feasible_alt,0.5,0.0,22,0,23.542437076568632,32.373048400878886,0.0,0,0.0,0.0,,,,0,
4,90.73983917236328,0,0,0,original_ok,0.5,0.0,22,0,24.608795166015636,38.709732913970974,0.0,0,0.0,0.0,,,,0,
5,14.053665161132812,0,0,1,fallback,0.5,0.0,22,0,25.0,26.406596755981443,0.0,0,0.0,0.0,,,,0,
6,11.11459732055664,0,1,1,fallback,0.5,0.0,7,0,25.0,26.39912185668945,0.0,0,0.0,0.0,,,,0,
7,20.11809730529783,0,0,0,original_ok,0.5,0.0,7,0,28.574042320251483,6.764710760116554,0.0,0,0.0,0.0,,,,0,
8,12.548603057861328,0,0,1,fallback,0.5,0.0,2,0,25.0,24.844693756103513,0.0,0,0.0,0.0,,,,0,
9,34.80783805847171,0,0,0,original_ok,0.5,0.0,2,0,28.63178920745847,22.45824890136722,0.0,0,0.0,0.0,,,,0,
10,10.653133392333984,0,1,1,fallback,0.5,0.0,2,0,25.0,25.322171783447263,0.0,0,0.0,0.0,,,,0,
11,11.912391662597656,0,1,1,fallback,0.5,0.0,11,0,25.0,25.140052413940428,0.0,0,0.0,0.0,,,,0,
12,42.70758018493653,0,0,0,original_ok,0.5,0.0,11,0,26.706244468688958,31.5016981124878,0.0,0,0.0,0.0,,,,0,
13,77.20268917083737,0,0,0,original_ok,0.5,0.0,11,0,27.860095500946063,33.93676118850704,0.0,0,0.0,0.0,,,,0,
14,11.156639099121094,0,1,1,fallback,0.5,0.0,11,0,25.0,26.872535324096678,0.0,0,0.0,0.0,,,,0,
15,10.367145538330078,0,1,1,fallback,0.5,0.0,11,0,25.0,25.212708091735838,0.0,0,0.0,0.0,,,,0,
16,23.241808891296408,0,0,0,original_ok,0.5,0.0,11,0,26.884467601776105,12.341486263275165,0.0,0,0.0,0.0,,,,0,
17,8.520133972167969,0,1,1,fallback,0.5,0.0,11,0,25.0,22.717748260498045,0.0,0,0.0,0.0,,,,0,
18,16.35880718231204,0,0,0,original_ok,0.5,0.0,11,0,25.253543376922583,6.9278342247009554,0.0,0,0.0,0.0,,,,0,
19,11.836898803710938,0,1,1,fallback,0.5,0.0,15,0,25.0,26.463146781921385,0.0,0,0.0,0.0,,,,0,
20,17.569668579101588,0,0,0,original_ok,0.5,0.0,15,0,29.34043502807615,5.050186634063746,0.0,0,0.0,0.0,,,,0,
21,11.731414794921875,0,1,1,fallback,0.5,0.0,15,0,25.0,25.245450592041013,0.0,0,0.0,0.0,,,,0,
22,26.135615348815918,0,0,0,original_ok,0.5,0.0,15,0,25.943000316619873,13.626174402236938,0.0,0,0.0,0.0,,,,0,
23,10.52633285522461,0,0,1,fallback,0.5,0.0,0,0,25.0,26.474645233154295,0.0,0,0.0,0.0,,,,0,
24,50.74069976806643,0,0,0,original_ok,0.5,0.0,0,0,22.271575927734357,40.805665111541764,0.0,0,0.0,0.0,,,,0,
25,12.914348602294922,0,0,1,fallback,0.5,0.0,2,0,25.0,23.255046463012693,0.0,0,0.0,0.0,,,,0,
26,15.128588867187517,0,0,0,original_ok,0.5,0.0,2,0,27.870983123779283,0.9632136344909838,0.0,0,0.0,0.0,,,,0,
27,12.33694839477539,0,0,1,fallback,0.5,0.0,2,0,25.0,24.830175018310545,0.0,0,0.0,0.0,,,,0,
28,18.32243032455446,0,0,0,original_ok,0.5,0.0,2,0,23.3611705303192,4.306823348999039,0.0,0,0.0,0.0,,,,0,
29,21.64266595840457,0,0,0,original_ok,0.5,0.0,2,0,22.86456418037412,4.7425920486450295,0.0,0,0.0,0.0,,,,0,
30,9.405387878417969,0,1,1,fallback,0.5,0.0,2,0,25.0,25.872459030151365,0.0,0,0.0,0.0,,,,0,
31,24.387893676757812,0,0,1,fallback,33.029415130615234,32.529415130615234,2,0,25.0,12.582505798339842,0.0,0,0.0,0.0,,,,0,
32,10.665908813476562,0,1,1,fallback,32.873046875,32.373046875,2,0,25.0,26.04129943847656,0.0,0,0.0,0.0,,,,0,
33,25.31081771850586,0,0,1,fallback,32.785911560058594,32.285911560058594,2,0,25.0,12.244908905029295,0.0,0,0.0,0.0,,,,0,
34,40.250694274902344,0,0,1,fallback,32.69877624511719,32.19877624511719,2,0,25.0,12.539876556396482,0.0,0,0.0,0.0,,,,0,
35,75.72357463836667,0,0,0,original_ok,32.61164093017578,32.11164093017578,2,0,23.6511015892029,33.57925767898557,0.0,0,0.0,0.0,,,,0,
36,101.72608814239501,0,0,0,original_ok,33.596771240234375,33.096771240234375,2,0,24.942183017730724,28.05285530090333,0.0,0,0.0,0.0,,,,0,
37,9.261749267578125,0,1,1,fallback,33.47615051269531,32.97615051269531,3,0,25.0,22.967934226989744,0.0,0,0.0,0.0,,,,0,
38,21.457069396972656,0,0,1,fallback,33.35552978515625,32.85552978515625,3,0,25.0,9.79532012939453,0.0,0,0.0,0.0,,,,0,
39,35.229705810546875,0,0,1,fallback,33.23490905761719,32.73490905761719,3,0,25.0,11.372636413574217,0.0,0,0.0,0.0,,,,0,
40,38.134472656250026,0,0,0,original_ok,33.114288330078125,32.614288330078125,3,0,29.489437103271463,2.712983465194725,0.0,0,0.0,0.0,,,,0,
41,11.19240951538086,0,0,1,fallback,32.99366760253906,32.49366760253906,3,0,25.0,26.728047943115232,0.0,0,0.0,0.0,,,,0,
42,24.915191650390625,0,0,1,fallback,32.873046875,32.373046875,3,0,25.0,11.322782135009763,0.0,0,0.0,0.0,,,,0,
43,36.85365295410156,0,0,1,fallback,32.785911560058594,32.285911560058594,3,0,25.0,9.538461303710935,0.0,0,0.0,0.0,,,,0,
44,63.758025360107396,0,0,1,feasible_alt,32.69877624511719,32.19877624511719,3,0,27.11142921447756,25.70437240600583,0.0,0,0.0,0.0,,,,0,
45,8.715156555175781,0,1,1,fallback,32.61164093017578,32.11164093017578,3,0,25.0,21.847976303100584,0.0,0,0.0,0.0,,,,0,
46,17.062633514404297,0,0,1,fallback,32.524505615234375,32.024505615234375,3,0,25.0,5.9474769592285135,0.0,0,0.0,0.0,,,,0,
47,29.184223175048828,0,0,1,fallback,32.4373722076416,31.9373722076416,3,0,25.0,9.72158966064453,0.0,0,0.0,0.0,,,,0,
48,55.52201843261719,0,0,1,fallback,32.35023498535156,31.850234985351562,3,0,25.0,23.937795257568357,0.0,0,0.0,0.0,,,,0,
49,89.38930082321167,0,0,0,original_ok,32.26310157775879,31.76310157775879,3,0,21.487640142440796,36.135900783538816,0.0,0,0.0,0.0,,,,0,
50,86.27247457504271,0,0,0,original_ok,33.11428451538086,32.61428451538086,3,0,25.38699603080751,-1.569431686401387,0.0,0,0.0,0.0,,,,0,
51,86.00038213729854,0,0,0,original_ok,32.99366760253906,32.49366760253906,3,0,25.186875104904214,-1.5567024707794417,0.0,0,0.0,0.0,,,,0,
52,96.63024816513055,0,0,0,original_ok,32.873046875,32.373046875,3,0,28.205681562423752,12.662810802459703,0.0,0,0.0,0.0,,,,0,
53,7.9769134521484375,0,1,1,fallback,32.785911560058594,32.285911560058594,3,0,25.0,24.77249298095703,0.0,0,0.0,0.0,,,,0,
54,19.79816436767578,0,0,1,fallback,32.69877624511719,32.19877624511719,3,0,25.0,9.421250915527342,0.0,0,0.0,0.0,,,,0,
55,31.350566864013672,0,0,1,fallback,32.61164093017578,32.11164093017578,3,0,25.0,9.152402496337888,0.0,0,0.0,0.0,,,,0,
56,56.88989582061769,0,0,0,original_ok,32.524505615234375,32.024505615234375,3,0,26.14373254776,23.27548274993898,0.0,0,0.0,0.0,,,,0,
57,70.45948429107665,0,0,0,original_ok,32.4373722076416,31.9373722076416,3,0,28.33593034744263,11.246348714828464,0.0,0,0.0,0.0,,,,0,
58,112.04284400939943,0,0,0,original_ok,32.35023498535156,31.850234985351562,3,0,30.915440559387193,41.64460163116456,0.0,0,0.0,0.0,,,,0,
59,116.76694526672362,0,0,0,original_ok,33.23490905761719,32.73490905761719,3,0,35.20648288726807,2.641297292709325,0.0,0,0.0,0.0,,,,0,
60,130.2140304565429,0,0,0,original_ok,33.11428451538086,32.61428451538086,3,0,38.619655609130916,11.36719717979426,0.0,0,0.0,0.0,,,,0,
