rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,lilac/risk,plugin/constraint/s_env,plugin/constraint/risk,lilac/cp_flag,plugin/constraint/s_uncert,lilac/cp_delta,lilac/cp_kl,lilac/cp_cooldown,plugin/constraint/unsafe,lilac/s_uncert,lilac/s_env
4.0,2.869841,1,3,4,1,,,,,,,,,,,
2.5,1.4349205,1,3,5,2,,,,,,,,,,,
2.3333333333333335,1.2751323333333333,1,4,7,3,,,,,,,,,,,
2.25,1.1944445000000001,2,4,9,4,,,,,,,,,,,
2.0,0.9555556000000001,2,4,10,5,0.509244225174575,0.0,0.509244225174575,0.0,0.7396222949028015,0.03998778760433197,0.008149206638336182,0.0,0.0,0.7396222949028015,0.0
2.1666666666666665,1.1153440000000001,2,5,13,6,0.5104122492152569,0.0,0.5104122492152569,1.0,0.8331003785133362,0.0026257920544594526,45.169551849365234,2.0,1.0,0.8331003785133362,0.0
2.0,0.9560091428571429,2,6,14,7,0.5116289316127414,0.0,0.5116289316127414,1.0,0.9304823279380798,0.0030473924707621336,33.25532913208008,2.0,1.0,0.9304823279380798,0.0
2.0,0.9563492499999999,2,6,16,8,0.5128644470216546,0.0,0.5128644470216546,1.0,1.0293829441070557,0.003452048636972904,24.827625274658203,2.0,1.0,1.0293829441070557,0.0
2.0,0.9566137777777777,2,7,18,9,0.5140799480934903,0.0,0.5140799480934903,1.0,1.1266937255859375,0.004402264952659607,18.677024841308594,2.0,1.0,1.1266937255859375,0.0
2.0,0.9565079999999998,2,8,20,10,0.5152386068061496,0.0,0.5152386068061496,1.0,1.219466209411621,0.0037695285864174366,14.309351921081543,2.0,1.0,1.219466209411621,0.0
2.0,0.9564214545454544,2,9,22,11,0.5163059520560774,0.0,0.5163059520560774,1.0,1.3049389123916626,0.0041087036952376366,11.17363166809082,2.0,1.0,1.3049389123916626,0.0
2.0,0.9563493333333332,2,9,24,12,0.5172578685477636,0.0,0.5172578685477636,1.0,1.3811781406402588,0.003708076663315296,8.942445755004883,2.0,1.0,1.3811781406402588,0.0
2.0,0.9565324615384613,2,9,26,13,0.5180806964069445,0.0,0.5180806964069445,1.0,1.4470866918563843,0.004084958229213953,7.345273971557617,2.0,1.0,1.4470866918563843,0.0
2.0714285714285716,1.0253969285714284,2,10,29,14,0.5187720610276831,0.0,0.5187720610276831,1.0,1.5024710893630981,0.004187938291579485,6.200041770935059,2.0,1.0,1.5024710893630981,0.0
2.066666666666667,1.0207408666666664,3,10,31,15,0.5193347836867982,0.0,0.5193347836867982,1.0,1.54755437374115,0.003848123596981168,5.355155944824219,2.0,1.0,1.54755437374115,0.0
2.25,1.196031875,3,10,36,16,0.519778926633244,0.0,0.519778926633244,1.0,1.583140254020691,0.008890306577086449,4.736163139343262,2.0,1.0,1.583140254020691,0.0
2.3529411764705883,1.2944912352941178,3,11,40,17,0.5201357169279299,0.0,0.5201357169279299,1.0,1.6117290258407593,0.004465511068701744,4.340273380279541,2.0,1.0,1.6117290258407593,0.0
2.4444444444444446,1.382010666666667,3,11,44,18,0.5204065600604696,0.0,0.5204065600604696,1.0,1.633432149887085,0.004269860684871674,4.004478931427002,2.0,1.0,1.633432149887085,0.0
2.736842105263158,1.6626567368421055,4,12,52,19,0.5065310458932908,0.0,0.5065310458932908,0.0,0.5225133895874023,0.006891756318509579,3.878633975982666,1.0,0.0,0.5225133895874023,0.0
3.0,1.9147620000000003,4,14,60,20,0.5074748646395303,0.0,0.5074748646395303,1.0,0.5980337262153625,0.001838513184338808,103.15803527832031,2.0,1.0,0.5980337262153625,0.0
2.9047619047619047,1.8235828571428574,4,14,61,21,0.5085114652926777,0.0,0.5085114652926777,1.0,0.6809830069541931,0.000861506792716682,74.96536254882812,2.0,1.0,0.6809830069541931,0.0
2.8181818181818183,1.7406927272727275,4,14,62,22,0.5096317332939588,0.0,0.5096317332939588,1.0,0.7706339955329895,0.0009256116463802755,54.98912811279297,2.0,1.0,0.7706339955329895,0.0
2.869565217391304,1.7897861304347829,4,15,66,23,0.5108199674588045,0.0,0.5108199674588045,1.0,0.8657325506210327,0.0014037435175850987,40.773231506347656,2.0,1.0,0.8657325506210327,0.0
