time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,lilac/dec_loss,lilac/beta,lilac/loss,lilac/kl,lilac/cp_flag,lilac/s_uncert,lilac/cp_delta,lilac/s_env,lilac/cp_kl,lilac/risk,lilac/cp_cooldown
3,60.0,3.822222,19,1,60,,,,,,,,,,,
1,60.0,4.3114375,62,2,120,,,,,,,,,,,
1,60.0,6.383231666666667,107,3,180,,,,,,,,,,,
1,60.0,5.74297925,152,4,240,0.335705429315567,0.0008,0.33571556210517883,0.01266324520111084,,,,,,,
1,60.0,4.976605600000001,197,5,300,,,,,0.0,0.7367720007896423,0.09036454558372498,0.0,0.013644516468048096,0.5092086086299921,0.0
1,60.0,4.623361833333334,242,6,360,,,,,1.0,0.8295915722846985,0.0030371425673365593,0.0,44.52299880981445,0.5103684080777752,2.0
1,60.0,4.23499042857143,285,7,420,0.0024544931948184967,0.0016,0.026211651042103767,14.848223686218262,1.0,0.9263727068901062,0.04065503552556038,0.0,33.064170837402344,0.511577589014762,2.0
1,60.0,4.06434675,328,8,480,,,,,1.0,1.024385690689087,0.004105110187083483,0.0,24.517648696899414,0.5128020225043729,2.0
1,60.0,4.255080666666667,371,9,540,,,,,1.0,1.1225574016571045,0.021052639931440353,0.0,19.39252281188965,0.514028284894387,2.0
1,60.0,4.6953122,378,10,600,0.002374789211899042,0.0024000000000000002,0.05702095478773117,22.76923370361328,1.0,1.2142043113708496,0.0038157266099005938,0.0,14.102598190307617,0.5151728939121817,2.0
1,60.0,4.963415090909091,385,11,660,,,,,1.0,1.2971359491348267,0.02688632160425186,0.0,10.821044921875,0.5162085181309363,2.0
1,60.0,5.347412833333333,393,12,720,,,,,1.0,1.3719966411590576,0.004624765366315842,0.0,8.827241897583008,0.5171432356262128,2.0
1,60.0,5.157074615384615,400,13,780,,,,,1.0,1.4351133108139038,0.00972210243344307,0.0,7.123453617095947,0.5179312232422748,2.0
2,60.0,5.334743857142856,408,14,840,0.31850123405456543,0.0032,0.3470577597618103,8.92391300201416,1.0,1.4890068769454956,0.04328836873173714,0.0,6.124573707580566,0.5186039934877245,2.0
2,60.0,5.1060783999999995,417,15,900,,,,,1.0,1.529832124710083,0.015449999831616879,0.0,5.12387752532959,0.5191135830574375,2.0
2,60.0,5.26596375,424,16,960,,,,,1.0,1.5655980110168457,0.006341701373457909,0.0,4.770683288574219,0.5195599879429921,2.0
2,60.0,5.125295823529412,432,17,1020,0.0011380930664017797,0.004,0.022496940568089485,5.339711666107178,1.0,1.5905457735061646,0.03763474151492119,0.0,4.1894612312316895,0.5198713500947182,2.0
2,60.0,5.212338444444445,439,18,1080,,,,,1.0,1.612634301185608,0.00872067641466856,0.0,4.042236804962158,0.5201470145073788,2.0
2,60.0,4.938004842105264,447,19,1140,,,,,0.0,0.513314425945282,0.014322981238365173,0.0,3.5501010417938232,0.506416078123322,1.0
2,60.0,5.1716644,454,20,1200,0.000843615154735744,0.0048000000000000004,0.13951842486858368,28.890583038330078,1.0,0.5875507593154907,0.0012774784117937088,0.0,103.78053283691406,0.5073438563290545,2.0
2,60.0,5.430325619047619,461,21,1260,,,,,1.0,0.668671190738678,0.04457533732056618,0.0,73.15886688232422,0.5083576113852142,2.0
2,60.0,5.357230090909091,469,22,1320,,,,,1.0,0.7569615244865417,0.002293946919962764,0.0,55.88910675048828,0.5094608897075683,2.0
2,60.0,5.416829043478261,476,23,1380,,,,,1.0,0.8496671915054321,0.014211718924343586,0.0,39.91044616699219,0.5106192427760292,2.0
2,60.0,5.310307708333334,522,24,1440,0.0032217411790043116,0.005600000000000001,0.3186107873916626,56.31947326660156,1.0,0.9464578628540039,0.19567053020000458,0.0,30.545040130615234,0.5118285159144386,2.0
2,60.0,5.44253032,564,25,1500,,,,,1.0,1.040856957435608,0.01454636175185442,0.0,21.19731903076172,0.5130077761824956,2.0
2,60.0,5.421724807692309,607,26,1560,,,,,1.0,1.1360183954238892,0.007299831602722406,0.0,17.443010330200195,0.5141964132713845,2.0
2,60.0,5.362490814814816,650,27,1620,0.005306660663336515,0.0064,0.15290211141109467,23.061790466308594,1.0,1.2204923629760742,0.07472139596939087,0.0,12.240167617797852,0.5152514218012634,2.0
2,60.0,5.205213642857144,693,28,1680,,,,,1.0,1.3028990030288696,0.011786853894591331,0.0,10.663603782653809,0.516280480265672,2.0
2,60.0,5.355553827586208,739,29,1740,,,,,1.0,1.3701035976409912,0.016209686174988747,0.0,7.902619361877441,0.5171196003612809,2.0
2,60.0,5.306342900000001,782,30,1800,0.0037019255105406046,0.0072,0.07207334786653519,9.496030807495117,1.0,1.4334559440612793,0.0144118657335639,0.0,7.177732467651367,0.5179105327716886,2.0
2,60.0,5.351658838709678,826,31,1860,,,,,1.0,1.4769608974456787,0.0767870768904686,0.0,5.40660285949707,0.5184536255244636,2.0
2,60.0,5.3364765,869,32,1920,,,,,1.0,1.5215004682540894,0.016617512330412865,0.0,5.391430854797363,0.519009588715008,2.0
2,60.0,5.378901696969696,912,33,1980,,,,,1.0,1.546186089515686,0.025084238499403,0.0,4.223941802978516,0.519317705686945,2.0
2,60.0,5.248896647058823,955,34,2040,0.004030211362987757,0.008,0.04408881440758705,5.007325172424316,1.0,1.5761682987213135,0.09983427077531815,0.0,4.468728065490723,0.5196919129664492,2.0
2,60.0,5.153349942857143,998,35,2100,,,,,0.0,0.5024821758270264,0.01687690243124962,0.0,3.653270959854126,0.5062806968257516,1.0
2,60.0,5.196180166666666,1043,36,2160,,,,,1.0,0.5754413604736328,0.001912711770273745,0.0,107.6767349243164,0.5071925208295851,2.0
2,60.0,5.1849577837837835,1050,37,2220,0.0028042250778526068,0.0088,0.34248051047325134,38.599578857421875,1.0,0.6539051532745361,0.06788979470729828,0.0,67.62235260009766,0.5081730863568344,2.0
2,60.0,5.149179868421053,1057,38,2280,,,,,1.0,0.7409002184867859,0.00346969161182642,0.0,58.265655517578125,0.5092601937496445,2.0
2,60.0,5.090653897435898,1066,39,2340,,,,,1.0,0.8321372866630554,0.0037866176571696997,0.0,40.492515563964844,0.5104002157817741,2.0
2,60.0,5.1071735,1074,40,2400,0.0019846386276185513,0.009600000000000001,0.4778791069984436,49.57233810424805,1.0,0.9281836152076721,0.005108450539410114,0.0,31.908832550048828,0.5116002132082403,2.0
2,60.0,5.146292268292683,1081,41,2460,,,,,1.0,1.0202205181121826,0.06396912783384323,0.0,20.858158111572266,0.5127499918405065,2.0
2,60.0,5.205923261904762,1089,42,2520,,,,,1.0,1.1154128313064575,0.007464095950126648,0.0,18.201086044311523,0.5139390476187499,2.0
2,60.0,5.307372813953489,1096,43,2580,,,,,1.0,1.1994719505310059,0.010268492624163628,0.0,12.42172622680664,0.5149889069354311,2.0
2,60.0,5.381993727272727,1103,44,2640,0.0005960783455520868,0.0104,0.17906342446804047,17.160322189331055,1.0,1.2828344106674194,0.06431759893894196,0.0,11.075915336608887,0.5160299347000531,2.0
2,60.0,5.369407311111111,1110,45,2700,,,,,1.0,1.3330588340759277,0.04278479889035225,0.0,6.445242881774902,0.5166570691375776,2.0
2,60.0,5.335979891304348,1117,46,2760,,,,,1.0,1.400399088859558,0.016943534836173058,0.0,7.774341583251953,0.517497840169334,2.0
