rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,lilac/cp_kl,lilac/cp_flag,lilac/s_uncert,plugin/constraint/s_env,lilac/risk,lilac/cp_delta,plugin/constraint/unsafe,lilac/s_env,plugin/constraint/risk,lilac/cp_cooldown,plugin/constraint/s_uncert,lilac/loss,lilac/dec_loss,lilac/beta,lilac/kl
2.869841,4,1,1,4.0,2,,,,,,,,,,,,,,,
1.4349205,5,1,2,2.5,3,,,,,,,,,,,,,,,
1.2751323333333333,7,1,3,2.3333333333333335,3,,,,,,,,,,,,,,,
1.1944445000000001,9,2,4,2.25,4,,,,,,,,,,,,,,,
0.9555556000000001,10,2,5,2.0,4,0.008149206638336182,0.0,0.7396222949028015,0.0,0.509244225174575,0.03998778760433197,0.0,0.0,0.509244225174575,0.0,0.7396222949028015,,,,
1.1153440000000001,13,2,6,2.1666666666666665,5,45.169551849365234,1.0,0.8331003785133362,0.0,0.5104122492152569,0.0026257920544594526,1.0,0.0,0.5104122492152569,2.0,0.8331003785133362,,,,
0.9560091428571429,14,2,7,2.0,5,33.25532913208008,1.0,0.9304823279380798,0.0,0.5116289316127414,0.0030473924707621336,1.0,0.0,0.5116289316127414,2.0,0.9304823279380798,,,,
0.9563492499999999,16,2,8,2.0,6,24.827625274658203,1.0,1.0293829441070557,0.0,0.5128644470216546,0.003452048636972904,1.0,0.0,0.5128644470216546,2.0,1.0293829441070557,,,,
0.9566137777777777,18,2,9,2.0,6,18.677024841308594,1.0,1.1266937255859375,0.0,0.5140799480934903,0.004402264952659607,1.0,0.0,0.5140799480934903,2.0,1.1266937255859375,,,,
0.9565079999999998,20,2,10,2.0,7,14.309351921081543,1.0,1.219466209411621,0.0,0.5152386068061496,0.0037695285864174366,1.0,0.0,0.5152386068061496,2.0,1.219466209411621,,,,
0.9564214545454544,22,2,11,2.0,8,11.17363166809082,1.0,1.3049389123916626,0.0,0.5163059520560774,0.0041087036952376366,1.0,0.0,0.5163059520560774,2.0,1.3049389123916626,,,,
0.9563493333333332,24,2,12,2.0,8,8.942445755004883,1.0,1.3811781406402588,0.0,0.5172578685477636,0.003708076663315296,1.0,0.0,0.5172578685477636,2.0,1.3811781406402588,,,,
0.9565324615384613,26,2,13,2.0,8,7.345273971557617,1.0,1.4470866918563843,0.0,0.5180806964069445,0.004084958229213953,1.0,0.0,0.5180806964069445,2.0,1.4470866918563843,,,,
1.0253969285714284,29,3,14,2.0714285714285716,9,6.200041770935059,1.0,1.5024710893630981,0.0,0.5187720610276831,0.004187938291579485,1.0,0.0,0.5187720610276831,2.0,1.5024710893630981,,,,
1.0207408666666664,31,3,15,2.066666666666667,9,5.355155944824219,1.0,1.54755437374115,0.0,0.5193347836867982,0.003848123596981168,1.0,0.0,0.5193347836867982,2.0,1.54755437374115,,,,
1.196031875,36,3,16,2.25,10,4.736163139343262,1.0,1.583140254020691,0.0,0.519778926633244,0.008890306577086449,1.0,0.0,0.519778926633244,2.0,1.583140254020691,,,,
1.2944912352941178,40,3,17,2.3529411764705883,10,4.340273380279541,1.0,1.6117290258407593,0.0,0.5201357169279299,0.004465511068701744,1.0,0.0,0.5201357169279299,2.0,1.6117290258407593,,,,
1.382010666666667,44,3,18,2.4444444444444446,11,4.004478931427002,1.0,1.633432149887085,0.0,0.5204065600604696,0.004269860684871674,1.0,0.0,0.5204065600604696,2.0,1.633432149887085,,,,
1.6626567368421055,52,4,19,2.736842105263158,12,3.878633975982666,0.0,0.5225133895874023,0.0,0.5065310458932908,0.006891756318509579,0.0,0.0,0.5065310458932908,1.0,0.5225133895874023,,,,
1.9147620000000003,60,4,20,3.0,12,103.15803527832031,1.0,0.5980337262153625,0.0,0.5074748646395303,0.001838513184338808,1.0,0.0,0.5074748646395303,2.0,0.5980337262153625,,,,
1.8235828571428574,61,4,21,2.9047619047619047,13,74.96536254882812,1.0,0.6809830069541931,0.0,0.5085114652926777,0.000861506792716682,1.0,0.0,0.5085114652926777,2.0,0.6809830069541931,,,,
1.7406927272727275,62,4,22,2.8181818181818183,13,54.98912811279297,1.0,0.7706339955329895,0.0,0.5096317332939588,0.0009256116463802755,1.0,0.0,0.5096317332939588,2.0,0.7706339955329895,,,,
1.7897861304347829,66,4,23,2.869565217391304,13,40.773231506347656,1.0,0.8657325506210327,0.0,0.5108199674588045,0.0014037435175850987,1.0,0.0,0.5108199674588045,2.0,0.8657325506210327,,,,
