time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,lilac/dec_loss,lilac/kl,lilac/beta,lilac/loss,lilac/s_env,lilac/risk,lilac/cp_delta,lilac/cp_flag,lilac/cp_kl,plugin/constraint_as/unsafe,plugin/constraint_as/risk,lilac/cp_cooldown,plugin/constraint_as/raw,lilac/s_uncert,plugin/constraint_as/s_agent,plugin/constraint_as/s_env
60,60.0,2,3.822222,21,1,,,,,,,,,,,,,,,,
120,60.0,2,4.308892999999999,42,2,,,,,,,,,,,,,,,,
180,60.0,2,6.379975333333333,61,3,,,,,,,,,,,,,,,,
240,60.0,2,5.740537,80,4,0.3355490267276764,0.01266042422503233,0.0008,0.3355591595172882,,,,,,,,,,,,
300,60.0,2,4.973382,102,5,,,,,0.0,0.5092087129027393,0.09001172333955765,0.0,0.013668060302734375,0.0,0.5,0.0,0.0,0.7367803454399109,0.0,0.0
360,60.0,2,5.584147333333334,122,6,,,,,0.0,0.5103685182989504,0.0030283438973128796,1.0,44.521697998046875,0.0,0.5,2.0,0.0,0.8296003937721252,0.0,0.0
420,60.0,2,4.786412,147,7,0.0024555753916502,14.847796440124512,0.0016,0.026212049648165703,0.0,0.5115777275212584,0.04065223038196564,1.0,33.06582260131836,0.0,0.5,2.0,0.0,0.9263837933540344,0.0,0.0
480,60.0,2,4.426999374999999,169,8,,,,,0.0,0.5128021624834612,0.00410363357514143,1.0,24.516952514648438,0.0,0.5,2.0,0.0,1.0243968963623047,0.0,0.0
540,60.0,2,4.679378666666667,189,9,,,,,0.0,0.5140282461818652,0.02133721299469471,1.0,19.390239715576172,0.0,0.5,2.0,0.0,1.1225543022155762,0.0,0.0
600,60.0,2,4.5933456,209,10,0.0023824183735996485,22.768959045410156,0.0024000000000000002,0.05702792480587959,0.0,0.5151728596710715,0.0038277553394436836,1.0,14.10282039642334,0.0,0.5,2.0,0.0,1.21420156955719,0.0,0.0
660,60.0,2,5.048380909090909,228,11,,,,,0.0,0.5162125535894976,0.028325188905000687,1.0,10.878674507141113,0.0,0.5,2.0,0.0,1.2974591255187988,0.0,0.0
720,60.0,2,5.427158416666667,248,12,,,,,0.0,0.5171467704907938,0.00486863125115633,1.0,8.820087432861328,0.0,0.5,2.0,0.0,1.3722797632217407,0.0,0.0
780,60.0,2,5.083189,267,13,,,,,0.0,0.5179354184758482,0.00852313730865717,1.0,7.125641345977783,0.0,0.5,2.0,0.0,1.4354493618011475,0.0,0.0
840,60.0,2,5.610580285714286,286,14,0.3142089545726776,8.94146728515625,0.0032,0.3428216576576233,0.0,0.5186074487462525,0.03714313358068466,1.0,6.119067192077637,0.0,0.5,2.0,0.0,1.4892836809158325,0.0,0.0
900,60.0,2,5.2365416,306,15,,,,,0.0,0.5191137318512947,0.013804585672914982,1.0,5.105165004730225,0.0,0.5,2.0,0.0,1.529844045639038,0.0,0.0
960,60.0,2,5.388273,326,16,,,,,0.0,0.5195601277995452,0.006096364464610815,1.0,4.770259857177734,0.0,0.5,2.0,0.0,1.5656092166900635,0.0,0.0
1020,60.0,2,5.354132294117647,349,17,0.0009872240480035543,5.3314971923828125,0.004,0.02231321483850479,0.0,0.5198729062941082,0.041003502905368805,1.0,4.198986053466797,0.0,0.5,2.0,0.0,1.5906704664230347,0.0,0.0
1080,60.0,2,5.428461777777778,369,18,,,,,0.0,0.5201482344185967,0.009488390758633614,1.0,4.041234493255615,0.0,0.5,2.0,0.0,1.6127320528030396,0.0,0.0
1140,60.0,2,5.494298789473684,390,19,,,,,0.0,0.5064136325003316,0.0167775247246027,0.0,3.5239830017089844,0.0,0.5,1.0,0.0,0.5131187438964844,0.0,0.0
1200,60.0,2,5.65069495,412,20,0.0008372879819944501,28.910062789916992,0.0048000000000000004,0.1396055966615677,0.0,0.5073411486270477,0.0014661368913948536,1.0,103.87604522705078,0.0,0.5,2.0,0.0,0.5873340964317322,0.0,0.0
1260,60.0,2,5.657040476190477,434,21,,,,,0.0,0.5083550759159687,0.05020086094737053,1.0,73.3845443725586,0.0,0.5,2.0,0.0,0.6684682965278625,0.0,0.0
1320,60.0,2,5.881835727272729,456,22,,,,,0.0,0.5094581764325699,0.0025847996585071087,1.0,55.93292236328125,0.0,0.5,2.0,0.0,0.756744384765625,0.0,0.0
1380,60.0,2,5.793805608695654,476,23,,,,,0.0,0.5106161849471659,0.01412198692560196,1.0,39.9180908203125,0.0,0.5,2.0,0.0,0.8494224548339844,0.0,0.0
1440,60.0,2,5.751867958333334,496,24,0.0030777810607105494,56.4118537902832,0.005600000000000001,0.31898415088653564,0.0,0.5118254003356832,0.19565260410308838,1.0,30.570363998413086,0.0,0.5,2.0,0.0,0.9462084770202637,0.0,0.0
1500,60.0,2,5.981348800000001,517,25,,,,,0.0,0.5130070539652847,0.010982661508023739,1.0,21.247150421142578,0.0,0.5,2.0,0.0,1.0407991409301758,0.0,0.0
1560,60.0,2,5.935423923076924,537,26,,,,,0.0,0.5141957224148631,0.007540970109403133,1.0,17.448101043701172,0.0,0.5,2.0,0.0,1.1359630823135376,0.0,0.0
1620,60.0,2,5.857164037037038,557,27,0.005321831908077002,23.088537216186523,0.0064,0.15308846533298492,0.0,0.5152391055313575,0.08011475205421448,1.0,12.077877044677734,0.0,0.5,2.0,0.0,1.2195061445236206,0.0,0.0
1680,60.0,2,5.750360571428573,576,28,,,,,0.0,0.5162694070363365,0.012612832710146904,1.0,10.694381713867188,0.0,0.5,2.0,0.0,1.3020122051239014,0.0,0.0
1740,60.0,2,5.619505241379311,595,29,,,,,0.0,0.5170686071652636,0.013812467455863953,1.0,7.5535688400268555,0.0,0.5,2.0,0.0,1.366019368171692,0.0,0.0
1800,60.0,2,5.849971200000001,615,30,0.002999837277457118,9.395881652832031,0.0072,0.07065018266439438,0.0,0.5178673732316856,0.015210858546197414,1.0,7.257698059082031,0.0,0.5,2.0,0.0,1.429998755455017,0.0,0.0
1860,60.0,2,5.877750741935484,635,31,,,,,0.0,0.5183861940432436,0.08919782936573029,1.0,5.3078718185424805,0.0,0.5,2.0,0.0,1.4715590476989746,0.0,0.0
1920,60.0,2,5.84605996875,654,32,,,,,0.0,0.5189549579550774,0.019139505922794342,1.0,5.474660873413086,0.0,0.5,2.0,0.0,1.5171236991882324,0.0,0.0
1980,60.0,2,5.814404787878787,674,33,,,,,0.0,0.5192296903350314,0.034807220101356506,1.0,4.119154930114746,0.0,0.5,2.0,0.0,1.5391343832015991,0.0,0.0
2040,60.0,2,5.699602029411764,695,34,0.006273220758885145,4.967228889465332,0.008,0.046011053025722504,0.0,0.5196226627131533,0.13492514193058014,1.0,4.562036514282227,0.0,0.5,2.0,0.0,1.5706197023391724,0.0,0.0
2100,60.0,2,5.618751714285714,716,35,,,,,0.0,0.506251790133703,0.014457255601882935,0.0,3.5854597091674805,0.0,0.5,1.0,0.0,0.5001692771911621,0.0,0.0
2160,60.0,2,5.64865411111111,735,36,,,,,0.0,0.5071604288508083,0.0024720088113099337,1.0,108.85923767089844,0.0,0.5,2.0,0.0,0.5728734731674194,0.0,0.0
2220,60.0,2,5.625202702702703,756,37,0.0029691660311073065,39.00224685668945,0.0088,0.3461889326572418,0.0,0.5081382529869126,0.08475003391504288,1.0,68.18386840820312,0.0,0.5,2.0,0.0,0.651117742061615,0.0,0.0
2280,60.0,2,5.628967210526316,775,38,,,,,0.0,0.5092227316215062,0.004305839538574219,1.0,58.8968505859375,0.0,0.5,2.0,0.0,0.7379022240638733,0.0,0.0
2340,60.0,2,5.805921230769231,795,39,,,,,0.0,0.5103332080003025,0.007365787401795387,1.0,37.12214660644531,0.0,0.5,2.0,0.0,0.8267743587493896,0.0,0.0
2400,60.0,2,5.8284124,814,40,0.0019400391029193997,49.17109680175781,0.009600000000000001,0.4739826023578644,0.0,0.5115313969991764,0.006922788918018341,1.0,32.48152160644531,0.0,0.5,2.0,0.0,0.922675371170044,0.0,0.0
2460,60.0,2,5.89687812195122,836,41,,,,,0.0,0.5126805824453775,0.08381882309913635,1.0,21.103313446044922,0.0,0.5,2.0,0.0,1.0146641731262207,0.0,0.0
2520,60.0,2,6.007072714285714,855,42,,,,,0.0,0.5138718864270717,0.009689589031040668,1.0,18.507917404174805,0.0,0.5,2.0,0.0,1.11003577709198,0.0,0.0
2580,60.0,2,6.089890883720931,876,43,,,,,0.0,0.5149119948725759,0.01085597649216652,1.0,12.336487770080566,0.0,0.5,2.0,0.0,1.193313479423523,0.0,0.0
2640,60.0,2,6.038901477272728,896,44,0.0006560636102221906,17.31590461730957,0.0104,0.18074147403240204,0.0,0.5159602448156292,0.06485679000616074,1.0,11.271034240722656,0.0,0.5,2.0,0.0,1.27725350856781,0.0,0.0
2700,60.0,2,6.012042933333334,916,45,,,,,0.0,0.516604408643633,0.03899393230676651,1.0,6.5668134689331055,0.0,0.5,2.0,0.0,1.3288413286209106,0.0,0.0
2760,60.0,2,5.9437341956521745,936,46,,,,,0.0,0.5174526465764262,0.018405301496386528,1.0,7.867736339569092,0.0,0.5,2.0,0.0,1.396779179573059,0.0,0.0
2820,60.0,2,5.960128914893618,956,47,0.002905256114900112,8.568528175354004,0.011200000000000002,0.09887276589870453,0.0,0.5178581031449994,0.10118454694747925,1.0,4.78148078918457,0.0,0.5,2.0,0.0,1.4292562007904053,0.0,0.0
2880,60.0,2,5.855933104166667,975,48,,,,,0.0,0.5185018170295783,0.020941823720932007,1.0,6.004168510437012,0.0,0.5,2.0,0.0,1.4808214902877808,0.0,0.0
2940,60.0,2,5.736424265306122,997,49,,,,,0.0,0.5058873305411866,0.030113423243165016,0.0,3.5262436866760254,0.0,0.5,1.0,0.0,0.47100821137428284,0.0,0.0
3000,60.0,2,5.8710926,1017,50,0.00070294359466061,34.44491958618164,0.012,0.41404199600219727,0.0,0.5067538742831537,0.0029983932618051767,1.0,123.46778869628906,0.0,0.5,2.0,0.0,0.5403428077697754,0.0,0.0
