time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,lilac/dec_loss,lilac/beta,lilac/kl,lilac/loss,plugin/constraint_as/risk,plugin/constraint_as/s_env,lilac/cp_flag,lilac/cp_cooldown,lilac/cp_delta,lilac/s_env,lilac/risk,lilac/s_uncert,plugin/constraint_as/raw,lilac/cp_kl,plugin/constraint_as/s_agent,plugin/constraint_as/unsafe
60,60.0,1,1,6.788136,45,,,,,,,,,,,,,,,,
120,60.0,1,2,4.3540225,91,,,,,,,,,,,,,,,,
180,60.0,1,3,3.857179,98,,,,,,,,,,,,,,,,
240,60.0,2,4,4.80399525,106,0.0011829206487163901,0.0008,0.00759116793051362,0.001188993570394814,,,,,,,,,,,,
300,60.0,2,5,3.8431962,113,,,,,0.5,0.0,0.0,0.0,0.06977938115596771,0.0,0.509184220702025,0.7348203063011169,0.0,0.00847923755645752,0.0,0.0
360,60.0,2,6,4.162980999999999,134,,,,,0.5,0.0,1.0,2.0,0.003960081841796637,0.0,0.510340510917015,0.8273588418960571,0.0,44.47078323364258,0.0,0.0
420,60.0,2,7,3.5682694285714285,153,0.0013837995938956738,0.0016,14.828295707702637,0.025109073147177696,0.5,0.0,1.0,2.0,0.05596382915973663,0.0,0.5115381063996365,0.9232124090194702,0.0,32.29975128173828,0.0,0.0
480,60.0,2,8,4.6880556250000005,172,,,,,0.5,0.0,1.0,2.0,0.0052467151544988155,0.0,0.5127581672550725,1.0208749771118164,0.0,24.519237518310547,0.0,0.0
540,60.0,2,9,6.414086222222222,192,,,,,0.5,0.0,1.0,2.0,0.0056119137443602085,0.0,0.5139542230660218,1.116627812385559,0.0,18.373449325561523,0.0,0.0
600,60.0,2,10,6.1558522,211,0.20898596942424774,0.0024000000000000002,22.344104766845703,0.26261183619499207,0.5,0.0,1.0,2.0,0.006590694654732943,0.0,0.5150962455751295,1.2080668210983276,0.0,14.183984756469727,0.0,0.0
660,60.0,2,11,5.769966636363637,231,,,,,0.5,0.0,1.0,2.0,0.043982550501823425,0.0,0.5161279886329535,1.290686845779419,0.0,10.81748104095459,0.0,0.0
720,60.0,3,12,5.77432125,239,,,,,0.5,0.0,1.0,2.0,0.007289415691047907,0.0,0.5170622205255546,1.3655078411102295,0.0,8.873390197753906,0.0,0.0
780,60.0,3,13,5.844672615384615,246,,,,,0.5,0.0,1.0,2.0,0.02244320511817932,0.0,0.5178160609376775,1.4258885383605957,0.0,6.9265546798706055,0.0,0.0
840,60.0,3,14,5.632184642857142,253,0.00397612014785409,0.0032,8.872474670410156,0.03236803784966469,0.5,0.0,1.0,2.0,0.09958422183990479,0.0,0.5184952843738749,1.4802981615066528,0.0,6.193079948425293,0.0,0.0
900,60.0,3,15,5.4478168,260,,,,,0.5,0.0,1.0,2.0,0.01880665309727192,0.0,0.5189910427277231,1.5200146436691284,0.0,5.079813003540039,0.0,0.0
960,60.0,3,16,6.244192312499999,271,,,,,0.5,0.0,1.0,2.0,0.01185353472828865,0.0,0.5194470319476369,1.55654776096344,0.0,4.827838897705078,0.0,0.0
1020,60.0,3,17,6.327482235294117,278,0.0007674501393921673,0.004,5.366910457611084,0.022235093638300896,0.5,0.0,1.0,2.0,0.06297170370817184,0.0,0.5197378487737175,1.5798488855361938,0.0,4.142991542816162,0.0,0.0
1080,60.0,3,18,6.350642222222222,286,,,,,0.5,0.0,1.0,2.0,0.014771020971238613,0.0,0.5200269919236021,1.603016972541809,0.0,4.097927093505859,0.0,0.0
1140,60.0,3,19,6.218068736842104,293,,,,,0.5,0.0,0.0,1.0,0.024685267359018326,0.0,0.5063755163499959,0.510068953037262,0.0,3.542205810546875,0.0,0.0
1200,60.0,3,20,6.4352734499999995,301,0.002642114879563451,0.0048000000000000004,29.0466365814209,0.14206597208976746,0.5,0.0,1.0,2.0,0.0019661406986415386,0.0,0.5072980830716441,0.5838881134986877,0.0,104.4034194946289,0.0,0.0
