time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/episodes,lilac/loss,lilac/kl,lilac/dec_loss,lilac/beta,lilac/cp_flag,lilac/risk,lilac/s_env,plugin/constraint/unsafe,plugin/constraint/s_env,lilac/cp_kl,plugin/constraint/s_uncert,lilac/cp_cooldown,lilac/s_uncert,plugin/constraint/risk,lilac/cp_delta
1740,761,60.0,2,5.355553827586208,29,,,,,1.0,0.5171196003612809,0.0,1.0,0.0,7.902619361877441,1.3701035976409912,2.0,1.3701035976409912,0.5171196003612809,0.016209686174988747
1800,805,60.0,2,5.306342900000001,30,0.07207334786653519,9.496030807495117,0.0037019255105406046,0.0072,1.0,0.5179105327716886,0.0,1.0,0.0,7.177732467651367,1.4334559440612793,2.0,1.4334559440612793,0.5179105327716886,0.0144118657335639
1860,850,60.0,2,5.351658838709678,31,,,,,1.0,0.5184536255244636,0.0,1.0,0.0,5.40660285949707,1.4769608974456787,2.0,1.4769608974456787,0.5184536255244636,0.0767870768904686
1920,894,60.0,2,5.3364765,32,,,,,1.0,0.519009588715008,0.0,1.0,0.0,5.391430854797363,1.5215004682540894,2.0,1.5215004682540894,0.519009588715008,0.016617512330412865
1980,942,60.0,2,5.378901696969696,33,,,,,1.0,0.519317705686945,0.0,1.0,0.0,4.223941802978516,1.546186089515686,2.0,1.546186089515686,0.519317705686945,0.025084238499403
2040,989,60.0,2,5.248896647058823,34,0.04408881440758705,5.007325172424316,0.004030211362987757,0.008,1.0,0.5196919129664492,0.0,1.0,0.0,4.468728065490723,1.5761682987213135,2.0,1.5761682987213135,0.5196919129664492,0.09983427077531815
2100,1034,60.0,2,5.153349942857143,35,,,,,0.0,0.5062806968257516,0.0,0.0,0.0,3.653270959854126,0.5024821758270264,1.0,0.5024821758270264,0.5062806968257516,0.01687690243124962
2160,1080,60.0,1,5.196180166666666,36,,,,,1.0,0.5071925208295851,0.0,1.0,0.0,107.6767349243164,0.5754413604736328,2.0,0.5754413604736328,0.5071925208295851,0.001912711770273745
2220,1088,60.0,2,5.1849577837837835,37,0.34248051047325134,38.599578857421875,0.0028042250778526068,0.0088,1.0,0.5081730863568344,0.0,1.0,0.0,67.62235260009766,0.6539051532745361,2.0,0.6539051532745361,0.5081730863568344,0.06788979470729828
2280,1096,60.0,2,5.149179868421053,38,,,,,1.0,0.5092601937496445,0.0,1.0,0.0,58.265655517578125,0.7409002184867859,2.0,0.7409002184867859,0.5092601937496445,0.00346969161182642
2340,1103,60.0,2,5.090653897435898,39,,,,,1.0,0.5104002157817741,0.0,1.0,0.0,40.492515563964844,0.8321372866630554,2.0,0.8321372866630554,0.5104002157817741,0.0037866176571696997
2400,1110,60.0,2,5.1071735,40,0.4778791069984436,49.57233810424805,0.0019846386276185513,0.009600000000000001,1.0,0.5116002132082403,0.0,1.0,0.0,31.908832550048828,0.9281836152076721,2.0,0.9281836152076721,0.5116002132082403,0.005108450539410114
2460,1118,60.0,2,5.146292268292683,41,,,,,1.0,0.5127499918405065,0.0,1.0,0.0,20.858158111572266,1.0202205181121826,2.0,1.0202205181121826,0.5127499918405065,0.06396912783384323
2520,1125,60.0,2,5.205923261904762,42,,,,,1.0,0.5139390476187499,0.0,1.0,0.0,18.201086044311523,1.1154128313064575,2.0,1.1154128313064575,0.5139390476187499,0.007464095950126648
2580,1132,60.0,2,5.307372813953489,43,,,,,1.0,0.5149889069354311,0.0,1.0,0.0,12.42172622680664,1.1994719505310059,2.0,1.1994719505310059,0.5149889069354311,0.010268492624163628
2640,1140,60.0,2,5.381993727272727,44,0.17906342446804047,17.160322189331055,0.0005960783455520868,0.0104,1.0,0.5160299347000531,0.0,1.0,0.0,11.075915336608887,1.2828344106674194,2.0,1.2828344106674194,0.5160299347000531,0.06431759893894196
2700,1147,60.0,2,5.369407311111111,45,,,,,1.0,0.5166570691375776,0.0,1.0,0.0,6.445242881774902,1.3330588340759277,2.0,1.3330588340759277,0.5166570691375776,0.04278479889035225
2760,1154,60.0,2,5.335979891304348,46,,,,,1.0,0.517497840169334,0.0,1.0,0.0,7.774341583251953,1.400399088859558,2.0,1.400399088859558,0.517497840169334,0.016943534836173058
2820,1162,60.0,2,5.2839126808510635,47,0.09749176353216171,8.431833267211914,0.003055234206840396,0.011200000000000002,1.0,0.5179136059124337,0.0,1.0,0.0,4.828710079193115,1.4337021112442017,2.0,1.4337021112442017,0.5179136059124337,0.09640638530254364
2880,1170,60.0,2,5.293341750000001,48,,,,,1.0,0.518547317768221,0.0,1.0,0.0,5.930405616760254,1.484466552734375,2.0,1.484466552734375,0.518547317768221,0.02004871517419815
2940,1177,60.0,2,5.2243166326530615,49,,,,,0.0,0.5059069388589119,0.0,0.0,0.0,3.5815601348876953,0.4725770950317383,1.0,0.4725770950317383,0.5059069388589119,0.0292929969727993
3000,1184,60.0,2,5.369823560000001,50,0.41128700971603394,34.21467590332031,0.0007108986028470099,0.012,1.0,0.5067757384792771,0.0,1.0,0.0,122.51802062988281,0.5420922636985779,2.0,0.5420922636985779,0.5067757384792771,0.002877011662349105
